Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCM.SB1,2000.01,369126,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.02,372489,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.03,374568,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.04,379797,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.05,382356,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.06,375021,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.07,373044,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.08,373149,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.09,370353,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.10,368976,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.11,369672,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2000.12,367200,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.01,366792,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.02,366732,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.03,363015,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.04,365577,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.05,358074,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.06,362919,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.07,361134,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.08,359490,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.09,359415,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.10,360552,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.11,362601,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2001.12,365373,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.01,364947,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.02,365346,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.03,366174,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.04,367248,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.05,371769,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.06,373995,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.07,372582,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.08,372783,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.09,372555,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.10,375666,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.11,375459,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2002.12,380376,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.01,377319,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.02,380697,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.03,380025,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.04,380778,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.05,380727,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
BDCM.SB1,2003.06,386196,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
